time,pressure,temperature,humidity,wind speed,wind direction,precipitation
2020-04-09 01:00,1011.1,19.4,88,0.9,W,0.0
2020-04-09 02:00,1010.6,18.7,89,0.5,NNW,0.0
2020-04-09 03:00,1010.2,18.4,94,1.4,WNW,0.0
2020-04-09 04:00,1010.5,18.5,94,0.9,NNE,0.0
2020-04-09 05:00,1010.8,18.3,95,1.3,NE,0.0
2020-04-09 06:00,1011.2,18.2,96,1.1,NNW,0.0
2020-04-09 07:00,1011.5,18.5,94,1.6,NNW,0.0
2020-04-09 08:00,1012.3,20.4,82,2.2,NNW,0.0
2020-04-09 09:00,1012.6,21.4,78,3.2,NNE,0.0
2020-04-09 10:00,1012.3,23.4,70,2.6,N,0.0
2020-04-09 11:00,-9999.5,-99.5,-9995,-99.5,Variable,0.0
2020-04-09 12:00,1011.0,28.9,45,2.3,NNW,0.0
2020-04-09 13:00,1010.4,28.6,47,4.5,NNW,0.0
2020-04-09 14:00,1009.9,28.4,46,4.7,NNW,0.0
2020-04-09 15:00,1009.4,28.7,41,4.5,NNW,0.0
2020-04-09 16:00,1009.2,28.7,41,4.2,NNW,0.0
2020-04-09 17:00,1009.8,26.7,49,4.3,NNW,0.0
2020-04-09 18:00,1010.3,23.6,71,2.4,NNW,0.0
2020-04-09 19:00,1011.1,21.6,84,2.0,WN,0.0
2020-04-09 20:00,1011.8,20.5,89,1.1,NNW,0.0
2020-04-09 21:00,1012.3,19.9,91,1.1,NNW,0.0
2020-04-09 22:00,1012.4,19.3,93,0.3,NNE,0.0
2020-04-09 23:00,1012.7,18.9,94,0.3,ES,0.0
2020-04-09 24:00,1012.4,18.6,96,1.0,ESE,0.0
2020-04-10 01:00,1012.3,18.2,98,1.0,NNW,0.0
2020-04-10 02:00,1012.3,18.0,98,0.6,NE,0.0
2020-04-10 03:00,1011.9,18.1,98,0.3,NE,0.0
2020-04-10 04:00,1012.1,17.7,98,0.3,N,0.0
2020-04-10 05:00,1012.5,17.2,98,0.8,N,0.0
2020-04-10 06:00,1013.0,17.1,98,0.9,NNW,0.0
2020-04-10 07:00,1013.6,18.8,99,0.8,WN,0.0
2020-04-10 08:00,1013.9,21.8,84,1.0,N,0.0
2020-04-10 09:00,1013.9,25.7,64,0.9,WN,0.0
2020-04-10 10:00,1014.0,28.5,52,1.1,N,0.0
2020-04-10 11:00,1013.4,30.3,46,1.7,WNW,0.0
2020-04-10 12:00,1012.9,31.7,43,2.6,W,0.0
2020-04-10 13:00,1012.1,31.2,45,1.7,W,0.0
2020-04-10 14:00,1011.0,30.4,48,1.9,WN,0.0
2020-04-10 15:00,1010.7,30.0,49,3.6,WN,0.0
2020-04-10 16:00,1010.4,29.0,48,2.9,WNW,0.0
2020-04-10 17:00,1010.6,28.3,44,2.3,WNW,0.0
2020-04-10 18:00,1011.1,25.8,58,1.9,WNW,0.0
2020-04-10 19:00,1011.8,24.1,74,1.0,W,0.0
2020-04-10 20:00,1012.5,22.8,85,0.7,SSW,0.0
2020-04-10 21:00,1012.7,21.4,92,1.2,S,0.0
2020-04-10 22:00,1012.7,20.8,95,1.0,S,0.0
2020-04-10 23:00,1012.7,20.5,96,0.6,WSW,0.0
2020-04-10 24:00,1012.5,20.4,97,1.4,S,0.0
2020-04-11 01:00,1011.9,20.4,92,1.6,SSE,0.0
2020-04-11 02:00,1011.1,21.1,84,1.1,S,0.0
2020-04-11 03:00,1010.6,19.6,90,0.5,ESE,0.0
2020-04-11 04:00,1010.4,18.9,93,0.9,ESE,0.0
2020-04-11 05:00,1010.7,18.9,95,1.3,W,0.0
2020-04-11 06:00,1010.7,18.4,97,0.8,W,0.0
2020-04-11 07:00,1011.3,19.7,97,0.5,NNE,0.0
2020-04-11 08:00,1011.4,23.4,80,1.1,ES,0.0
2020-04-11 09:00,1011.5,26.7,64,1.8,WS,0.0
2020-04-11 10:00,1011.6,27.6,61,2.3,WNW,0.0
2020-04-11 11:00,1011.0,28.8,55,1.2,N,0.0
2020-04-11 12:00,1010.1,29.3,52,1.0,NNW,0.0
2020-04-11 13:00,1008.7,28.3,54,1.9,E,0.0
2020-04-11 14:00,1008.3,27.7,56,2.8,WNW,0.0
2020-04-11 15:00,1007.8,23.9,80,2.7,NNW,0.0
2020-04-11 16:00,1008.0,21.9,87,3.3,NNW,0.0
2020-04-11 17:00,1008.2,20.5,92,3.1,NNW,0.0
2020-04-11 18:00,1008.2,20.4,93,1.1,WN,0.0
2020-04-11 19:00,1008.5,20.5,93,1.1,WN,0.0
2020-04-11 20:00,1008.9,20.5,92,0.4,Variable,0.0
2020-04-11 21:00,1009.2,20.6,93,1.1,NNE,0.0
2020-04-11 22:00,1009.3,20.6,94,0.9,NNW,0.0
2020-04-11 23:00,1009.7,20.6,96,1.5,N,0.1
2020-04-11 24:00,1009.6,20.0,99,1.7,NNW,0.5
2020-04-12 01:00,1009.4,19.2,99,3.3,N,2.5
2020-04-12 02:00,1008.5,18.9,99,1.7,N,1.5
2020-04-12 03:00,1008.6,18.9,100,1.1,NNW,0.5
2020-04-12 04:00,1008.6,18.5,99,0.8,NNW,T
2020-04-12 05:00,1008.3,18.4,99,1.2,NNE,0.0
2020-04-12 06:00,1008.5,18.3,99,1.6,N,0.0
2020-04-12 07:00,1009.0,18.5,99,2.7,Variable,0.0
2020-04-12 08:00,1009.9,19.4,88,3.0,NNW,0.0
2020-04-12 09:00,1010.5,21.3,71,3.7,Variable,0.0
2020-04-12 10:00,1010.5,21.8,67,3.5,NNW,0.0
2020-04-12 11:00,1010.2,22.6,61,4.1,N,0.0
2020-04-12 12:00,1010.0,22.9,54,6.1,N,0.0
2020-04-12 13:00,1009.5,23.1,54,6.2,Variable,0.0
2020-04-12 14:00,1009.2,22.4,53,7.1,N,0.0
2020-04-12 15:00,1009.4,22.0,51,6.9,Variable,0.0
2020-04-12 16:00,1009.6,21.0,49,6.6,Variable,0.0
2020-04-12 17:00,1010.4,20.2,49,6.3,N,0.0
2020-04-12 18:00,1011.4,18.3,51,5.4,Variable,0.0
2020-04-12 19:00,1012.2,16.6,53,3.9,Variable,0.0
2020-04-12 20:00,1012.9,15.8,55,1.8,NNE,0.0
2020-04-12 21:00,1013.5,14.7,59,1.4,NNE,0.0
2020-04-12 22:00,1013.4,13.6,68,1.8,NE,0.0
2020-04-12 23:00,1013.3,13.5,59,0.8,NNE,0.0
2020-04-12 24:00,1012.7,11.7,76,1.4,ES,0.0
2020-04-13 01:00,1012.3,11.0,80,0.4,ENE,0.0
2020-04-13 02:00,1012.1,10.6,76,0.7,ES,0.0
2020-04-13 03:00,1011.8,9.8,82,1.0,NE,0.0
2020-04-13 04:00,1012.1,10.4,74,1.9,NE,0.0
2020-04-13 05:00,1012.6,11.3,63,1.5,ENE,0.0
2020-04-13 06:00,1013.2,11.3,55,2.4,NNE,0.0
2020-04-13 07:00,1013.4,14.9,45,1.8,NNE,0.0
2020-04-13 08:00,1014.0,18.2,30,3.7,N,0.0
2020-04-13 09:00,1014.0,20.7,24,5.0,N,0.0
2020-04-13 10:00,1013.6,22.8,21,4.5,N,0.0
2020-04-13 11:00,1013.0,23.9,20,4.7,N,0.0
2020-04-13 12:00,1012.1,25.0,19,4.6,NNW,0.0
2020-04-13 13:00,1011.2,24.7,31,6.1,WN,0.0
2020-04-13 14:00,1010.9,24.3,32,5.4,NNW,0.0
2020-04-13 15:00,1010.9,23.6,36,6.2,NNW,0.0
2020-04-13 16:00,1011.2,23.5,36,4.7,NNW,0.0
2020-04-13 17:00,1011.3,22.3,40,4.0,NNW,0.0
2020-04-13 18:00,1012.0,20.5,43,3.3,NNW,0.0
2020-04-13 19:00,1012.9,18.0,51,1.5,N,0.0
2020-04-13 20:00,1013.7,16.7,58,0.3,NNW,0.0
2020-04-13 21:00,1014.2,15.8,64,0.4,ES,0.0
2020-04-13 22:00,1014.4,15.1,72,0.7,WSW,0.0
2020-04-13 23:00,1014.1,14.8,72,1.0,E,0.0
2020-04-13 24:00,1012.9,15.2,74,1.6,ES,0.0
2020-04-14 01:00,1012.0,16.2,67,1.2,NNW,0.0
2020-04-14 02:00,1012.1,15.0,75,1.0,NNE,0.0
2020-04-14 03:00,1011.8,14.1,83,1.4,SSE,0.0
2020-04-14 04:00,1011.3,15.6,71,1.3,ES,0.0
2020-04-14 05:00,1011.9,14.7,84,0.3,NNE,0.0
2020-04-14 06:00,1012.3,14.2,89,0.5,ENE,0.0
2020-04-14 07:00,1012.5,16.7,73,1.0,SSE,0.0
2020-04-14 08:00,1013.5,21.7,51,1.0,ESE,0.0
2020-04-14 09:00,1013.7,24.3,43,1.7,S,0.0
2020-04-14 10:00,1013.4,24.7,46,1.1,WSW,0.0
2020-04-14 11:00,1012.8,24.4,47,2.2,S,0.0
2020-04-14 12:00,1012.3,27.0,41,1.8,SSW,0.0
2020-04-14 13:00,1011.6,26.6,40,2.2,WS,0.0
2020-04-14 14:00,1010.9,26.7,41,1.6,WS,0.0
2020-04-14 15:00,1010.0,28.0,37,1.7,WSW,0.0
2020-04-14 16:00,1010.0,25.2,46,1.8,W,0.0
2020-04-14 17:00,1010.1,23.2,54,2.7,WNW,0.0
2020-04-14 18:00,1010.7,21.8,58,1.5,WN,0.0
2020-04-14 19:00,1011.1,20.6,63,0.9,WN,0.0
2020-04-14 20:00,1011.6,20.0,68,0.3,NNE,0.0
2020-04-14 21:00,1012.1,18.9,79,0.3,ESE,0.0
2020-04-14 22:00,1012.2,18.8,79,0.6,ES,0.0
2020-04-14 23:00,1011.7,18.7,79,0.3,W,0.0
2020-04-14 24:00,1011.3,18.8,84,0.6,W,0.0
2020-04-15 01:00,1010.7,18.8,85,0.7,WSW,0.0
2020-04-15 02:00,1010.2,18.6,87,0.7,NNW,0.0
2020-04-15 03:00,1010.0,18.4,89,1.0,N,0.0
2020-04-15 04:00,1009.9,18.5,83,0.5,NNE,0.0
2020-04-15 05:00,1010.1,18.7,83,0.3,S,0.0
