time,pressure,temperature,humidity,wind speed,wind direction,precipitation
2019-05-09 01:00,762.5,11.0,100,1.1,WSW,0.0
2019-05-09 02:00,761.8,11.1,100,1.3,S,0.0
2019-05-09 03:00,761.8,11.3,100,0.6,WS,0.0
2019-05-09 04:00,761.7,11.3,100,0.3,WS,0.0
2019-05-09 05:00,761.9,11.4,100,0.3,SSE,0.5
2019-05-09 06:00,762.0,11.4,100,1.1,ES,T
2019-05-09 07:00,762.0,11.7,100,1.1,S,0.5
2019-05-09 08:00,762.3,12.1,100,0.5,W,T
2019-05-09 09:00,762.7,12.2,100,0.8,WSW,0.0
2019-05-09 10:00,762.7,12.9,100,0.5,ENE,0.0
2019-05-09 11:00,762.4,13.1,100,0.7,ESE,0.0
2019-05-09 12:00,762.1,13.3,97,0.9,W,0.0
2019-05-09 13:00,761.7,13.7,98,0.9,NNW,0.0
2019-05-09 14:00,761.2,14.4,95,0.5,N,0.0
2019-05-09 15:00,761.1,13.0,100,0.5,NNW,0.0
2019-05-09 16:00,761.0,13.5,100,0.7,N,0.0
2019-05-09 17:00,761.2,13.0,100,0.6,W,0.0
2019-05-09 18:00,761.5,12.8,100,1.2,W,T
2019-05-09 19:00,762.0,12.8,100,1.6,W,0.5
2019-05-09 20:00,762.3,12.8,100,0.3,NE,0.5
2019-05-09 21:00,762.9,12.6,100,0.5,ENE,0.5
2019-05-09 22:00,762.9,12.5,100,0.3,NE,T
2019-05-09 23:00,762.7,12.5,100,0.5,E,3.0
2019-05-09 24:00,762.3,12.5,100,1.5,WNW,8.0
2019-05-10 01:00,762.2,12.6,100,1.0,WNW,6.0
2019-05-10 02:00,762.0,12.5,100,1.1,WN,3.0
2019-05-10 03:00,762.0,12.4,100,0.3,NE,3.0
2019-05-10 04:00,762.2,12.3,100,0.3,NNW,6.0
2019-05-10 05:00,762.3,12.3,100,0.9,WNW,1.5
2019-05-10 06:00,762.8,12.3,100,1.1,WSW,4.0
2019-05-10 07:00,763.5,12.3,100,1.8,W,3.0
2019-05-10 08:00,763.8,13.0,100,0.7,NNW,1.0
2019-05-10 09:00,763.7,13.5,100,0.4,Variable,0.5
2019-05-10 10:00,763.6,15.2,100,0.8,Variable,0.0
2019-05-10 11:00,763.9,18.6,88,0.8,W,0.0
2019-05-10 12:00,764.2,16.2,100,1.6,W,0.0
2019-05-10 13:00,764.0,13.8,100,1.3,W,0.0
2019-05-10 14:00,763.4,14.9,87,1.3,WNW,0.0
2019-05-10 15:00,763.2,14.4,90,0.8,Variable,0.0
2019-05-10 16:00,763.0,14.0,87,0.9,ES,0.0
2019-05-10 17:00,763.1,13.3,91,0.4,ESE,0.0
2019-05-10 18:00,763.5,12.8,92,0.5,S,0.0
2019-05-10 19:00,763.8,12.4,91,0.5,SSE,0.0
2019-05-10 20:00,764.2,11.6,91,0.2,Calm,0.0
2019-05-10 21:00,764.5,11.9,95,0.7,W,0.0
2019-05-10 22:00,764.8,11.4,91,0.3,SSE,0.0
2019-05-10 23:00,764.8,10.7,91,1.1,S,0.0
2019-05-10 24:00,764.7,11.0,91,1.8,SSW,0.0
2019-05-11 01:00,764.4,11.1,90,2.2,SSW,0.0
2019-05-11 02:00,764.1,11.4,86,2.2,S,0.0
2019-05-11 03:00,764.2,10.6,91,2.6,S,0.0
2019-05-11 04:00,764.1,11.1,86,2.4,S,0.0
2019-05-11 05:00,764.5,11.6,83,0.6,N,0.0
2019-05-11 06:00,764.9,10.5,91,0.8,S,0.0
2019-05-11 07:00,765.6,12.0,88,1.1,WS,0.0
2019-05-11 08:00,766.0,14.1,88,1.3,WSW,0.0
2019-05-11 09:00,766.3,14.9,88,0.7,NNE,0.0
2019-05-11 10:00,766.3,15.1,95,0.9,NNE,0.0
2019-05-11 11:00,766.2,14.9,93,0.9,NNW,0.0
2019-05-11 12:00,765.9,16.2,90,0.9,WN,0.0
2019-05-11 13:00,765.4,15.3,94,1.3,N,0.0
2019-05-11 14:00,765.2,16.5,83,0.8,Variable,0.0
2019-05-11 15:00,764.7,16.2,81,0.8,SSW,0.0
2019-05-11 16:00,764.5,15.1,90,0.8,WNW,0.0
2019-05-11 17:00,764.6,14.0,91,1.3,WSW,0.0
2019-05-11 18:00,764.9,13.7,89,0.2,Calm,0.0
2019-05-11 19:00,765.1,12.8,92,0.9,SSE,0.0
2019-05-11 20:00,765.7,11.8,91,0.8,ES,0.0
2019-05-11 21:00,765.8,12.5,94,0.4,E,0.0
2019-05-11 22:00,766.1,12.3,93,0.4,WSW,0.0
2019-05-11 23:00,766.0,11.7,92,1.5,SSE,0.0
2019-05-11 24:00,765.8,11.0,88,1.5,S,0.0
2019-05-12 01:00,765.5,10.6,91,1.3,S,0.0
2019-05-12 02:00,765.0,10.6,91,1.6,S,0.0
2019-05-12 03:00,764.9,10.4,92,1.4,S,0.0
2019-05-12 04:00,764.8,10.2,93,0.3,NNE,0.0
