time,pressure,temperature,humidity,wind speed,wind direction,precipitation
2019-05-09 01:00,998.1,21.5,88,6.9,NE,T
2019-05-09 02:00,997.7,21.2,89,6.1,NE,1.5
2019-05-09 03:00,997.7,21.2,89,4.5,NNE,1.0
2019-05-09 04:00,997.5,21.3,89,3.7,NNE,0.5
2019-05-09 05:00,997.7,21.3,89,4.2,NNE,T
2019-05-09 06:00,998.1,21.2,89,4.4,NNE,T
2019-05-09 07:00,998.3,21.2,89,5.1,NNE,1.0
2019-05-09 08:00,998.9,21.1,88,4.8,NNE,1.0
2019-05-09 09:00,999.0,21.3,88,4.5,N,0.5
2019-05-09 10:00,998.9,22.0,88,6.9,Variable,T
2019-05-09 11:00,998.5,22.6,82,4.8,NNE,T
2019-05-09 12:00,998.4,22.4,83,4.2,NNE,T
2019-05-09 13:00,997.8,21.6,85,5.8,NNE,0.0
2019-05-09 14:00,997.3,21.7,79,6.8,NNE,0.0
2019-05-09 15:00,997.2,20.5,84,6.9,NNE,0.5
2019-05-09 16:00,997.3,19.4,88,5.7,NNE,T
2019-05-09 17:00,997.2,19.9,88,7.1,ENE,1.0
2019-05-09 18:00,997.9,20.4,87,5.5,ENE,T
2019-05-09 19:00,998.6,19.7,86,7.2,ENE,2.5
2019-05-09 20:00,999.0,19.5,85,7.3,ENE,1.5
2019-05-09 21:00,999.4,20.1,83,8.2,E,0.5
2019-05-09 22:00,999.9,20.4,83,7.3,E,0.5
2019-05-09 23:00,999.7,19.8,90,7.6,E,2.5
2019-05-09 24:00,999.4,19.5,89,7.5,ENE,1.5
2019-05-10 01:00,998.9,19.4,90,7.3,E,0.5
2019-05-10 02:00,998.5,19.6,90,6.9,E,T
2019-05-10 03:00,998.4,19.7,90,7.2,E,T
2019-05-10 04:00,998.5,20.3,86,6.8,E,T
2019-05-10 05:00,999.2,20.8,86,5.6,ENE,T
2019-05-10 06:00,999.8,19.6,87,6.7,NE,T
2019-05-10 07:00,999.9,20.6,76,6.8,ENE,T
2019-05-10 08:00,1000.2,21.3,78,5.2,ENE,0.0
2019-05-10 09:00,1000.2,22.6,68,5.6,ENE,0.0
2019-05-10 10:00,1000.4,22.0,71,5.3,ENE,0.0
2019-05-10 11:00,1000.4,21.3,79,4.4,ENE,0.5
2019-05-10 12:00,1000.4,22.6,79,4.3,ENE,T
2019-05-10 13:00,999.8,23.3,75,3.9,E,T
2019-05-10 14:00,999.4,23.2,72,5.7,ENE,T
2019-05-10 15:00,999.2,23.5,69,4.9,ENE,0.0
2019-05-10 16:00,999.1,23.5,70,6.3,ENE,0.0
2019-05-10 17:00,999.3,22.4,71,6.5,ENE,0.0
2019-05-10 18:00,999.8,22.1,74,7.7,ENE,0.0
2019-05-10 19:00,1000.2,22.1,74,7.7,ENE,0.0
2019-05-10 20:00,1000.6,22.4,72,7.3,ENE,0.0
2019-05-10 21:00,1001.0,22.4,72,6.6,ENE,0.0
2019-05-10 22:00,1001.4,22.4,72,5.8,E,0.0
2019-05-10 23:00,1001.3,21.7,77,6.7,ENE,0.0
2019-05-10 24:00,1000.7,21.9,75,5.1,E,0.0
2019-05-11 01:00,1000.2,22.0,75,4.9,E,0.0
2019-05-11 02:00,999.8,21.9,76,6.5,E,0.0
2019-05-11 03:00,999.3,22.1,77,5.5,E,0.0
2019-05-11 04:00,999.8,22.2,81,4.2,E,0.0
2019-05-11 05:00,1000.5,22.3,82,3.9,ENE,0.0
2019-05-11 06:00,1001.1,22.5,83,4.3,NE,0.0
2019-05-11 07:00,1001.6,23.1,82,4.7,NE,0.0
2019-05-11 08:00,1001.8,23.5,76,5.7,ENE,0.0
2019-05-11 09:00,1001.7,24.0,75,8.0,ENE,0.0
2019-05-11 10:00,1001.9,24.3,74,7.7,ENE,0.0
2019-05-11 11:00,1001.9,23.5,74,7.6,NE,0.0
2019-05-11 12:00,1001.3,23.9,74,7.0,NE,0.0
2019-05-11 13:00,1001.1,23.7,71,8.2,NE,0.0
2019-05-11 14:00,1000.3,24.5,66,8.5,ENE,0.0
2019-05-11 15:00,1000.2,23.8,70,7.9,ENE,0.0
2019-05-11 16:00,999.8,23.6,70,8.2,ENE,0.0
2019-05-11 17:00,1000.1,23.5,67,6.9,E,0.0
2019-05-11 18:00,1000.8,23.4,68,6.6,ENE,0.0
2019-05-11 19:00,1001.3,23.5,69,6.3,ENE,0.0
2019-05-11 20:00,1001.6,23.5,72,5.7,ENE,0.0
2019-05-11 21:00,1001.8,23.4,75,5.6,E,0.0
2019-05-11 22:00,1001.8,23.3,76,4.7,E,0.0
2019-05-11 23:00,1001.5,23.3,80,4.3,E,0.0
2019-05-11 24:00,1000.8,23.3,79,4.6,E,0.0
2019-05-12 01:00,1000.6,23.2,81,3.5,E,0.0
2019-05-12 02:00,1000.1,23.3,80,2.9,E,0.0
2019-05-12 03:00,999.7,23.3,80,3.3,E,0.0
2019-05-12 04:00,1000.2,23.0,84,2.8,ENE,0.0
2019-05-12 05:00,1000.4,23.1,83,2.7,ENE,0.0
2019-05-12 06:00,1001.0,23.3,85,2.2,ENE,0.0
2019-05-12 07:00,1001.4,23.8,85,3.4,ENE,0.0
2019-05-12 08:00,1001.3,24.5,85,4.5,ENE,0.0
2019-05-12 09:00,1001.5,24.7,83,4.6,ENE,0.0
2019-05-12 10:00,1001.5,25.1,84,4.3,ENE,0.0
2019-05-12 11:00,1001.5,24.7,84,4.1,ENE,0.0
